video_id,tags,view
VifQlJit6A0,"The Walking Dead|""shiva""|""tiger""|""king ezekiel""|""episode 804""|""episode 4""|""some guy""|""sad""|""zombies""|""all out war""|""war""|""walkers""|""the kingdom""|""the saviors""|""Rick""|""Rick Grimes""|""Negan""|""Ezekiel""|""Daryl""|""Michonne""|""Morgan""|""Carl""|""Dwight""|""Jeffrey Dean Morgan""|""Andrew Lincoln""|""Norman Reedus""|""Danai Gurira""|""Lennie James""|""robert kirkman""|""scott m. gimple""|""apocalypse""|""season""|""season 8""|""alexandria""|""AMC""|""tv""|""tv show""|""television""|""11/12_TWD""|""Featured""",104578
5E4ZBSInqUU,"marshmello|""blocks""|""marshmello blocks""|""blocks music video""|""marshmello music video""|""roblox bully story""|""marshmello alone""|""roblox""|""cuphead""|""marshmello nightcore""|""marshmello musically""|""music for kids""|""happy music""|""videos that make you happy""|""sad songs""|""childrens music""|""joytime""|""marshmello joytime""|""frat bro""|""band""|""high school""|""crush""|""mellogang""",687582
GgVmn66oK_A,"nowthis|""nowthis world""|""world news""|""nowthis news""|""international news""|""countries""|""collapse""|""failing countries""|""war in the world""|""fragile states""|""the fragile states index""|""fund for peace""|""social""|""economic""|""political""|""which countries are failing""|""Central African Republic""|""CAR""|""countries that are sinking""|""countries that are dying""|""countries that are going to disappear""|""Somalia""|""colonization""|""dictatorship""|""south sudan""",544770
TaTleo4cOs8,"shopping for new fish|""new fish""|""aquarium fish""|""aquarium""|""uarujoey""|""king of diy""|""aquarium gallery""|""the king of diy""|""fish tank""|""fish (animal)""|""diy king""|""arowana""|""flower horn""|""fish""",207532
kgaO45SyaO4,"Robots|""Boston Dynamics""|""SpotMini""|""Legged Locomotion""|""Dynamic robot""",75752
ZAQs-ctOqXQ,"pacific rim|""pacific rim 2""|""pacific rim sequel""|""Guillermo del Toro""|""Cracked""|""cracked.com""|""sketch""|""comedy""|""funny""|""spoof""|""laugh""|""satire""|""parody""|""hilarious""|""spoofs""|""josh sargent""|""fix a movie""|""how to fix""|""charlie day""|""idris elba""|""fighting robots""|""fight scenes""|""pacific rim problems""|""pacific rim epic""|""pacific rim comic con""|""pacific rim characters""|""pacific rim robots""|""pacific rim machines""|""mako mori""|""fan theory""|""headcanon""|""how it should have ended""",295639
YVfyYrEmzgM,"TED|""TED-Ed""|""TED Education""|""TED Ed""|""Hilary Coller""|""Sashko Danylenko""|""hunger""|""fullness""|""appetite""|""food""|""stomach""|""digestion""|""vagus nerve""|""hypothalamus""|""hormones""|""endocrine cells""|""digestive system""|""intestine""|""ghrelin""|""insulin""|""leptin""|""water""|""fiber""|""protein""",78044
eNSN6qet1kE,"ultralight|""airplane""|""homemade""|""DIY""|""hoverbike""|""part 103""|""ultra light""|""aircraft""|""aviation""|""do it yourself""|""basement""|""petersripol""|""peter sripol""|""biplane""|""flitetest""|""flite test""|""electric vehicle""|""electric""",97007
B5HORANmzHw,"SciShow|""science""|""Hank""|""Green""|""education""|""learn""|""stefan chin""|""mars""|""colony""|""genetic diversity""|""founder effect""|""alleles""|""effective population size""|""mutations""|""interstellar mission""|""acta astronautica""|""Founding An Inbreeding-Free Space Colony""",223871
vU14JY3x81A,"life noggin|""life noggin youtube""|""youtube life noggin""|""life noggin channel""|""education""|""education channel""|""life noggin face reveal""|""edutainment""|""edutainment videos""|""blocko""|""blocko life noggin""|""science""|""technology""|""educational""|""school""|""lucid dream""|""lucid dreaming""|""control your dreams""|""how to control your dreams""|""how to lucid dream""|""sleep""|""dreaming""|""nightmare""|""dream""|""REM sleep""|""what is lucid dreaming""|""sleep study""|""brain activity""|""consciousness""|""PTSD""|""lucid dreaming experience""",115791
6VhU_T463sU,"tested|""testedcom""|""designercon 2017""|""preview""|""toys""|""props""|""costumes""|""ironhead studio""|""marvel""|""thor""|""thor 3""|""thor ragnorok""|""thor ragnarok""|""hela""|""helmet""|""cosplay""|""headdress""|""costume""",224019
_-aDHxoblr4,"tom scott|""tomscott""|""built for science""|""national advanced driving simulator""|""university of iowa""|""driving simulation""|""driver safety""|""driver distraction""",144418
JBZTZZAcFTw,"refinery29|""refinery 29""|""r29""|""r29 video""|""video""|""refinery29 video""|""female""|""empowerment""|""house tour""|""sweet digs""|""new york city""|""apartment decor""|""interior design""|""home tour""|""big apple""|""real estate""|""apartment""|""new apartment tour""|""bedroom tour""|""new apartment""|""house tour 2017""|""living room""|""living room decor""|""walk through""|""nyc apartment""|""new house""|""kitchen tour""|""modern home""|""decorating on a budget""|""my new house""|""moving out""|""video blog""|""manhattan""|""NY""|""central park""",145921
lZ68j2J_GOM,"using other peoples showers|""gus""|""gus shower""|""other people shower""|""ketchup shower""|""funny bathroom""|""funny""|""gustoonz""|""gus johnson""|""gus other peoples showers""|""funny video""|""trending""|""youtube trending""|""trending video""|""viral video""|""advertiser friendly""|""family friendly""|""clean""|""shower joke""|""sketch comedy""|""youtube haiku""|""shower meme""|""meme""|""new meme""|""meme 2017""|""meme 2018""",33980
dRpNZV18N_g,"spaghetti burrito|""diy burrito""|""spaghetti""|""burrito""|""burrito recipe""|""spaghetti deep fried""|""deep fried spaghetti""|""spgahetti sandwich""|""giant burrito""",223077
fcVjitaM3LY,"numberphile|""prime numbers""|""proth prime""",80705
qeWvgZLz9yU,"Smart mug|""Heated thermos""|""tech""|""gift idea""|""unboxed""|""Ember mug""|""ember""|""Ember review""|""Heated mug""|""teardown""|""technology""|""Thermous""|""winter""|""holiday""|""christmas""|""gift""|""mug""|""unboxing""",120727
iIxy3JN3-jc,auth-jvardon-auth,27943
n30k5CwLhS4,"freaks and geeks|""jason segel""|""judd apatow""|""drums""|""rush""|""paul feig""|""drummer""|""nick andopolis""",50867
U0hAC8O7RoI,"carmax|""lamborghini miura""|""miura carmax""|""lamborghini carmax""|""took lamborghini to carmax""|""supercar carmax""|""selling my car at acrmax""|""lambo carmax""|""stradman""|""vehicle virgins""|""doug demuro""",98378
CBVGjS_EJok,"Amazon|""Amazon Christmas""|""Amazon Xmas""|""Christmas""|""Xmas""|""ad""|""christmas ad""|""commercial""|""Holidays""|""advert""|""christmas advert""|""Amazon ad""|""UK""|""Amazon Christmas Advert""|""Christmas (Holiday)""|""Amazon Christmas advert 2017""|""Amazon xmas ad 2017""|""Amazon Holiday Advert""|""Delivery""|""Gift""|""Amazon Delivery""|""boxes""|""singing boxes""|""smile""|""give a littlle bit""|""Roger Hodgson - Give a Little Bit""|""Roger Hodgson""",26000
n1WpP7iowLc,"Eminem|""Walk""|""On""|""Water""|""Aftermath/Shady/Interscope""|""Rap""",17158531
hz7ukDjuq4w,"detective|""officer""|""401""|""officer401""|""police""|""cop""|""cops""|""law""|""enforcement""|""investigator""|""ford""|""fusion""|""crown vic""|""charger""|""dodge""|""patrol""|""cid""|""criminal""|""investigations""|""division""|""mre""|""survival food""|""trunk""|""2011""|""2012""|""2013""|""2014""|""2015""|""2016""|""2017""|""fusion se""|""ford fusion""|""ford fusion se""|""vest""|""outter""|""carrier""|""bullet-proof""|""bullet-proof vest""|""level 2 armor""|""level 3 armor""",67661
p2hJxyF7mok,"Emirates|""First Class""",141148
0mlNzVSJrT0,"cute|""cats""|""thai""|""eggs""",98966
Om_zGhJLZ5U,"screenjunkies|""screen junkies""|""sj news""|""honest trailers""|""honest trailer""|""wonder woman""|""batman""|""superman""|""the joker jared leto""|""man of steel""|""justice league""|""justice league review""|""batman vs superman""|""bvs""|""dceu""|""dc movie plot""|""justice league plot""|""wonder woman plot""|""batman plot""|""motherbox""|""justice league trailer""|""suicide squad""|""will smith""|""deadshot""|""joker harley quinn""|""margot robbie""|""suicide squad review""|""dc marvel""",288922
e_7zHm7GsYc,"Hunter|""Hayes""|""you should be loved""|""the shadowboxers""|""pictures""|""part one""|""official""|""music video""|""trilogy""|""hunter hayes""|""wanted""|""i want crazy""|""storm warning""",13917
dQvIbulWCM4,"niki and gabi|""nikiandgabibeauty""|""celebrities on thanksgiving""|""celebrities""|""thanksgiving""|""celebrity thanksgiving""|""thanksgiving 2017""|""celebrities in high school""|""celebrities at prom""|""celebrities have a sleepover""|""celebrity talent show""|""celebrities at the beach""|""taylor swift""|""parody""|""comedy""",605932
zZ9FciUx6gs,"Nickelback|""Feed The Machine""|""The Betrayal Act III""|""The Betrayal""|""Rock""|""Alternative""|""Anthem Films""|""Kevin Slack""|""Chad Kroeger""|""Ryan Peake""|""Mike Kroeger""|""Daniel Adair""|""How You Remind Me""|""Rockstar""",57169
PaJCFHXcWmM,"U2|""The""|""Blackout""|""Island""|""Records""|""Rock""",60506
goP4Z5wyOlM,"bbc|""bbc news""|""news""|""iran""|""iran news""|""iraq""|""iraq news""|""earthquake""|""breaking news""|""Iraq-Iran earthquake""",34785
NZFhMSgbKKM,[none],945
0tO_l_Ed5Rs,"matthew santoro facts|""music video""|""matthew santoro""|""Ellevan""|""EllevanMusic""|""HumbleThePoet""|""Humble The Poet""|""FACTS""|""whats that facts""",328330
STI2fI7sKMo,"shawn johnson|""andrew east""|""shawn east""|""shawn and andrew""|""olympian""|""nfl player""|""athletes""|""vlog""|""couples""|""google irl""|""google feud""|""google markiplier""|""google myself""|""challenge""|""reactions""|""reacts""|""internet""|""memes""|""funny""|""birthday""|""cringe""|""laughing""|""daily""|""vlogger""|""stupid""|""cute""|""boy""|""diy""|""google""|""myself""|""googled""|""googling""|""liza""|""lizakoshy""|""wednesdays""|""liza koshy""|""googling myself""|""liza koshy net worth""|""liza koshy google""|""liza facts""|""liza panties""|""net worth""|""youtuber net worth""|""youtuber facts""",321053
BWPrk9PUwQE,"iphone x|""iphonex makeup""|""iphonex test""|""new iphone""|""iphone vs makeup""|""face id""|""face id test""|""iphone x challenge""|""iphone hack""|""iphone x makeup tutorial""|""makup tutorial""|""2017 makeup""|""promise phan""|""twins face id""|""twins iphonex""|""iphonex face""|""iphonex review""",1456472
ogYum4kWXgk,"people are awesome|""people are awesome 2017""|""youtube""|""hd""|""compilation""|""humans""|""amazing people""|""incredible""|""gopro""|""gopro hero""|""extreme sports""|""adventure travel""|""people are awesome videos""|""PAA""|""the pet collective""|""pet collective TV""|""I love my pets""|""awesome pets""|""pets are awesome""|""Adventure Pup""|""Adventure Dogs""|""Good Doggo""|""Adventure Cats""|""Surfing""|""snowboarding""|""skiing""|""wakeboarding""",69844
sbcbvuitiTc,"NBA|""Basketball""|""Sports""",956169
zNqCVTs38nU,"D3sports|""NCAA Division III""|""D3sports.com""|""D3football.com""|""Division III football""|""#d3fb""|""college football""|""Division III (Sports Association)""",4569
DM-ni_LSOFE,"iPhone X|""animojis""|""facial recognition""|""ELDERS REACT TO iPHONE X Facial Recognition Animojis""|""elders react""|""react""|""reaction""|""thefinebros""|""fine brothers""|""fine brothers entertainment""|""finebros""|""fine bros""|""FBE""|""watch""|""review""|""for the first time""|""reviews""|""responds""|""respond""|""youtubers react""|""teens react""|""kids react""|""adults react""|""parents react""|""teenagers react""|""iphone""|""apple""|""iphone 8""",2045386
0PpNlNJ6Nng,"nails|""nail art""|""nail tutorial""|""beauty tutorial""|""nail art tutorial""|""diy nails""|""easy nail art""|""diy nail art""|""cute nail art""|""simply nailogical""|""simplynailogical sister""|""simplynailogical jen""|""jenny""|""iphone""|""what's on my iphone""|""phone games""|""best fiends""|""sister fun""|""watermarble""|""will it watermarble""|""simplynailogical watermarble""|""watermarble nails""|""watermarble objects""|""hydrodipping""|""marble""|""nail polish marble""",1842393
c-3JxzN2u34,"CBS Sunday Morning|""CBS News""|""news""|""On The Road""|""lin manuel miranda""|""puerto rico""|""hamilton""|""hurricane maria""",6473
069D0NmW39o,"wwe|""world wrestling entertainment""|""wrestling""|""wrestler""|""wrestle""|""superstars""|""??????""|""??????""|""????? ????? ?""|""???""|""?????????""|""?????????? ??????""|""??????""|""WWE Top 10""|""Stone Cold Steve Austin""|""Undertaker""|""Kurt Angle""|""Kofi Kingston""|""Xavier Woods""|""Big E""|""Christian""|""Dean Ambrose""|""John Cena""|""Boogeyman""|""top 10""|""wwe distraction""|""wwe best distractions""|""wwe clips""|""wwe youtube""|""best of wwe""|""best wrestling distractions""",1044813
9t9u_yPEidY,"Jennifer Lopez ft. Wisin|""Jennifer Lopez ft. Wisin Music""|""Jennifer Lopez ft. Wisin Official Video""|""Jennifer Lopez ft. Wisin Video""|""Jennifer Lopez ft. Wisin Video Oficial""|""Jennifer Lopez ft. Wisin Nuevo Video""|""Jennifer Lopez ft. Wisin New Video""|""Amor""|""Amor Official Video""|""Official Video""|""Amor Single""|""Single""|""Jennifer Lopez ft. Wisin New Single""|""Jennifer Lopez ft. Wisin Single""|""Jennifer Lopez ft. Wisin Amor""|""Jennifer""|""Lopez""",9548677
KODzih-pYlU,"itsgrace|""funny""|""comedy""|""vlog""|""grace""|""helbig""|""gracehelbig""|""dailygrace""|""daily""|""tutorial""|""diy""|""lifestyle""",197062
8NHA23f7LvU,"Graham Norton|""Graham Norton Show Official""|""Entertainment""|""Chat Show""|""Graham Norton full episodes""|""the graham Norton show full eps""|""graham Norton full eps""|""watch graham Norton online""|""jason momoa""|""hugh grant""|""sarah millican""|""kelly clarkson""|""graham norton red chair""|""game of thrones""",1496225
w0XYVssCKjw,"javale mcgee|""golden state warriors""|""kevin durant""|""oakland""|""bay area""|""san francisco""|""oracle arena""|""e40""|""e-40""|""hip hop""|""rap""|""beats""|""beats by dre""|""life goes on""|""arthur""|""renowitzky""|""klay thompson""|""minnesota timberwolves""|""nick young""|""swaggy p""",162597
9XSULcLI6Hg,"KELLYANNE CONWAY ROY MOORE|""KELLYANNE CONWAY ROY MOORE THIS WEEK ABC""|""KELLYANNE CONWAY ROY MOORE THIS WEEK""|""KELLYANNE CONWAY THIS WEEK ABC 11/12/17""|""KELLYANNE CONWAY THIS WEEK ABC""|""KELLYANNE CONWAY""|""ROY MOORE""|""THIS WEEK ABC""|""POLITICS""",9132
pjuPpVLXDQg,"2017|""viralhog""|""Crash""|""Fail""|""Featured""|""train""|""swipe""|""crashes""|""destroy""|""destroys""|""vehicle""|""parked""|""car""|""truck""|""Vietnam""|""accident""|""collision""|""trending""",7265
9xSx-5tmq44,"daddy's home|""daddy's home 2""|""mel gibson""|""john lithgow""|""family""|""christmas""|""movie""|""review""|""Awesometacular""|""jeremy jahns""",291597
4v0nOAzcG2A,"Google|""Pixel 2""|""Pixel 2 XL""|""Pixel 2 Camera""|""Moment Lens""|""Pixel 2 Moment case""|""Moment Case Lens""|""Smartphone""|""2017""|""Apple""|""google pixel""|""apple iphone x""|""pixel 2 xl review""|""iphone 8""|""iphone""|""google pixel 2""|""camera""|""google pixel xl""|""pixel 2 unboxing""|""review""|""iphone x""|""pixel""|""android""|""tech""|""jonathan morrison""|""tld""",290801
oTObwUiXdYY,"7.3 magnitude earthquake|""earthquake iraq iran""|""iraq iran earthquake""|""earthquake""|""iraq""|""iran""|""breaking news""|""iraq-iran earthquake""|""pakistan""|""iran earthquake""|""iran news""|""iraq news""|""iran-iraq earthquake""|""iraq earthquake""|""magnitude""|""7.3 magnitude""|""iraq-iran""|""iran iraq earthquake""|""iran iraq border earthquake""|""400 dead iran iraq earthquake""|""Time""|""time magazine""|""magazine""|""time (magazine)""|""time.com""|""news today""|""world news""|""interview""|""science""|""technology""|""health""|""politics""|""entertainment""|""business""",5304
1cgK-BIrXes,"vets|""veterans day""|""veterans""|""youtube""|""veteransday""|""veterans day 2017""",812516
ujyTQNNjjDU,"BPG/RVG/RCA Records|""G-Eazy""|""Rap""|""The Plan""",2642930
PABlVzeldaM,"navy|""united states navy""|""us navy""|""military""|""sailors""|""united states""|""america""|""usa""|""usn""|""service members""",105058
6340tX9M_eM,"IGN|""Batman""|""Trailer""|""Elseworlds""|""DC Comics""|""DC Universe Movie""|""Warner Bros. Home Entertainment""|""batman gotham by gaslight""|""batman animated movie""|""dc animated movie""",537715
8mhTWqWlQzU,"wearing online dollar store makeup for a week|""online dollar store makeup""|""dollar store makeup""|""daiso""|""shopmissa makeup""|""shopmissa haul""|""dollar store makeup haul""|""dollar store""|""shopmissa""|""foundation""|""concealer""|""eye primer""|""eyebrow pencil""|""eyeliner""|""bronzer""|""contour""|""face powder""|""lipstick""|""$1""|""$1 makeup""|""safiya makeup""|""safiya dollar store""|""safiya nygaard""|""safiya""|""safiya and tyler""",2744430
t4YAyT4ihIQ,"getting my drivers license|""lele""|""pons""|""getting""|""my""|""drivers""|""license""|""terrible soccer players""|""halloween costume contest""|""first time flying""|""how to not get bullied""|""lelepons""|""hannahstocking""|""rudymancuso""|""inanna""|""anwar""|""sarkis""|""shots""|""shotsstudios""|""alesso""|""anitta""|""brazil""|""Craziest Wisdom Teeth Removal Story | Hannah Stocking""|""| Hannah Stocking""|""Hannah Stocking""",3358068
MNiweoKXwfg,"AMC|""Norman Reedus""|""The Walking Dead""|""Ride With Norman Reedus""|""Daryl""|""behind the scenes""|""INSIDER""|""pop culture""",4732
Jw1Y-zhQURU,"christmas|""john lewis christmas""|""john lewis""|""christmas ad""|""mozthemonster""|""christmas 2017""|""christmas ad 2017""|""john lewis christmas advert""|""moz""",7224515
2Vv-BfVoq4g,"edsheeran|""ed sheeran""|""acoustic""|""live""|""cover""|""official""|""remix""|""official video""|""lyrics""|""session""",33523622
UFYCTJlayS4,"best productivity apps 2017|""best iphone apps for creativity 2016""|""10 Essential Productivity Apps for iPhone and Android thomas frank""|""6 iPhone Apps You NEED in Your Life Right Now! | Best iOS Apps for Productivity (2017)""|""iphone x unboxing apple mkbhd ijustine jonathan morrison""|""apple iphone x review first impressions sara dietschy""|""sara dietschy tech""|""kingston bolt thunderbolt review""|""best apps for editing video on phone""|""best app for video editing on iphone""|""best photo editing app""",52591
cccyOn99s4Y,"megan batoon|""comedy""|""diy""|""cooking""|""funny""|""how""|""to""|""tutorial""|""freestyle""|""improv""|""recipe""|""health""|""weight""|""loss""|""challenge""|""youtuber""|""exercise""|""health and fitness""|""family""|""react""|""reacts""|""reacting""|""marathon""|""running""|""hard""|""half marathon""|""training""|""los angeles""",75822
abGCYPCk294,"Justice LEague|""Movie""|""Reactions""|""Reviews""|""Film""|""Disney""|""Netflix""|""DC""|""Batman""|""John Campea""|""Movie News""|""Show""",43715
lY_0mkYDZDU,"Foster|""The""|""People""|""Sit""|""Next""|""to""|""Me""|""(Vertical""|""Video)""|""Columbia""|""Alternative/Indie""",303956
k8NxqyGcZA4,"What What Happens live|""reality""|""interview""|""fun""|""celebrity""|""Andy Cohen""|""talk""|""show""|""program""|""Bravo""|""Watch What Happens Live""|""WWHL""|""bravo andy""|""Watch""|""What""|""Happens""|""Trump""|""Rosie O'Donnell""|""President of the United States""|""public distaste""|""Rosie O'Donnel wwhl""|""Rosie O'Donnel and Donald Trump""|""Donald Trump""|""President Trump""|""Donald Trump and Rosie O'Donnel""|""Rosie O'Donnell Watch What Happens Live""|""hillary clinton""|""rosie wwhl""|""rosie o'donnell andy cohen""|""comedian""|""plead the fifth""|""talk show""",238643
IE-xepGLVt8,"Mayo Clinic|""Health Care (Issue)""|""Healthcare Science (Field Of Study)""|""organ transplant""|""Essam and Dalal Obaid Center for Reconstructive Transplant Surgery""|""face transplant""|""plastic surgery""|""reconstructive surgery""",237307
ObIQ0s02UHg,"Jason Derulo|""French Montana""|""Pop""|""Other""|""Tip Toe""|""Official Music Video""|""Jason Desrouleaux""",1282413
cOc3tsFWoRs,"James Corden|""The Late Late Show""|""Colbert""|""late night""|""late night show""|""Stephen Colbert""|""Comedy""|""monologue""|""comedian""|""impressions""|""celebrities""|""carpool""|""karaoke""|""CBS""|""Late Late Show""|""Corden""|""joke""|""jokes""|""funny""|""funny video""|""funny videos""|""humor""|""celebrity""|""celeb""|""hollywood""|""famous""",1497519
AJYb0Yom5UQ,"Harvey Weinstein|""Howard Stern""|""Howard Stern Show""|""Hollywood""|""casting couch""|""angie everhart""|""robin quivers""|""george takei""|""Star Terk""|""Star Trek""|""Gay""|""Homo""|""LBGT""",148226
gLswXiRLdkA,"ebay|""haul""|""cheap""|""challenge""|""extra""|""amber scholl""|""online""|""shopping""|""try on""|""2017""|""CLOTHES""|""shoes""",484185
MyEqfBkzESU,"Extreme Tan|""Tanning""|""Tanning Bed""|""How to get best Tan""|""Black to White""|""White To Tan""|""How to apply fake tan""|""Tanning Routine""|""Best fake tan""|""How to tan faster in the sun""|""How to make tan last""|""tanned skin""|""tan makeup""",300617
wJYE0sFOteE,"cave|""cheese""|""goat""|""rind""|""sheep's milk""|""crown finish caves""|""brooklyn""|""crown heights""|""aging cheese""|""affinage""|""artisanal food""|""benton brown""|""how to age cheese""|""cheese aging""|""cheese caves""|""how cheese is made""|""how to make cheese""|""how cheese is aged""|""cheese recipe""|""cheese making""|""best cheese""|""cheeses""|""how cheese aging works""|""cheese is aged""|""i got a guy""|""food""|""bon appetit""|""bon app?tit""",92523
L_5_slz4ke4,"seattle|""seahawks""|""richard""|""sherman""|""nfl""|""thursday""|""night""|""football""|""injuries""|""games""|""gma""",7524
OKoL852K9uA,"ice primer|""beauty hack""|""weird beauty hack""|""ice under foundation""|""pore minimizer""",103927
pa_oUisZZy0,"BuzzFeed|""buzzfeed celeb""|""Mark Ruffalo""|""Thor""|""Ragnarok""|""funny""|""thirst""|""thirsty""|""tweet""|""celeb""|""celebrity""|""interview""|""surprise""|""flattered""|""embarrassing""|""embarrassed""|""hilarious""|""LOL""|""awkward""|""daddy""|""celebrities""|""entertainment""",177707
fNtLIcyjsnI,"Game Night|""2018""|""Jason Bateman""|""Rachel McAdams""|""Comedy""|""Official""|""Trailer""|""Movie""|""Clip""|""TV Spot""|""International""|""Film""|""Teaser""",1751064
_Iz83-Cmt6A,"Little|""Big""|""Town""|""with""|""Jimmy""|""Webb""|""Wichita""|""Lineman""|""(Live""|""from""|""the""|""CMA""|""Awards)""|""Country""|""Music""|""Association""|""Classic""",46746
YlvCVbfS9M0,"Alan Walker|""DJ Walkzz""|""K-391""|""House""|""Techno""|""Behind the senes""|""All Falls Down""|""Noah Cyrus""|""World Of Walker""|""WoW""|""Alan""|""Walker""|""EDM""|""Alone""|""Faded""|""Tired""|""The making of""|""unmasked""|""production""|""whats the trick""|""hello hello""|""Norway""|""Buzludzha""|""Bulgaria""|""Digital Farm Animals""|""electro""|""cryptogram""|""trilogy""|""walkers""|""walkers join""|""drone""|""ill be fine""|""kristian berg""|""juliander""|""allan""|""valker""|""croatia""|""Robin B?e""",746092
arJ5h2TY3I4,"superfruit|""super""|""fruit""|""scott""|""hoying""|""mitch""|""grassi""|""fcute""|""weekly""|""obsessions""|""everyone""|""heres""|""good""|""song""|""dont""|""listen""|""to""|""anything""|""else""|""today""|""future""|""friends""",836830
-2RVw2_QyxQ,"Chess|""Saint Louis""|""Club""",67429
gEHCXl4J9Qo,"American Broadcasting Company|""ABC""|""ABC Network""|""Television""|""TV""|""what to watch""|""trailer""|""tv show""|""Television Program""|""Taylor Swift""|""New Year's Day""|""Performance""|""Reputation""",2237404
#NAME?,"Giraffe|""Zoo""|""New York""|""giraffe cam""|""Animal""|""Adventure""|""Animal Adventure""|""Harpursville""|""Park""",45455
b4vTZx_AtHk,"how to dry a shirt in 30 seconds|""how to dry a shirt""|""life hack""|""how to quickly dry clothing""|""how to dry a shirt fast""|""quickly dry clothes""|""quickly dry clothing""|""dry a shirt fast""|""howtobasic""",2063667
kOnQocd799Y,"baby driver|""edgar wright""|""everything wrong with""|""eww""|""cinemasins""|""cinema sins""|""movie""|""mistakes""|""review""",2736733
e4FApt6z55c,"Kimbra|""Top of the World""|""Pop""|""Primal Heart""|""Gotye""|""Somebody I Used To Know""|""Vows""|""Settle Down""|""Cameo Lover""|""Other""|""Official Music Video""",165698
